epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,5.10414,1.81775,5.78449,1.84053,0.87899,0.33333,0.36483,0.26117,1.5977,5.74825,1.63146,0.00019998,6.666e-05,0.00019998,6.666e-05,0.00019998,6.666e-05,0.00019998,6.666e-05
2,8.10214,1.63061,5.43545,1.69218,0.91135,0.33333,0.38694,0.26973,1.5391,5.49969,1.61475,0.000429,0.000143,0.000429,0.000143,0.000429,0.000143,0.000429,0.000143
3,11.0104,1.56812,4.86184,1.69189,0.97618,0.33333,0.47348,0.33287,1.52592,5.10909,1.62371,0.000653401,0.0002178,0.000653401,0.0002178,0.000653401,0.0002178,0.000653401,0.0002178
4,15.0144,1.71633,4.36423,1.72881,1,0.31687,0.56197,0.4199,1.46081,4.90002,1.62059,0.000873183,0.000291061,0.000873183,0.000291061,0.000873183,0.000291061,0.000873183,0.000291061
5,20.5401,1.58158,4.00244,1.67684,0.74802,0.62404,0.5707,0.4122,1.40439,4.24434,1.6161,0.00108834,0.000362781,0.00108834,0.000362781,0.00108834,0.000362781,0.00108834,0.000362781
6,23.4115,1.43425,3.55067,1.53583,0.88027,0.33333,0.59039,0.43176,1.31911,3.60935,1.53001,0.00129889,0.000432962,0.00129889,0.000432962,0.00129889,0.000432962,0.00129889,0.000432962
7,26.4013,1.35205,2.98865,1.54075,0.92213,0.52525,0.7581,0.56874,1.0807,2.88749,1.36097,0.00150481,0.000501603,0.00150481,0.000501603,0.00150481,0.000501603,0.00150481,0.000501603
8,29.1988,1.24776,2.63515,1.39699,0.89951,0.59104,0.7581,0.61124,1.04222,2.59292,1.40145,0.00170611,0.000568704,0.00170611,0.000568704,0.00170611,0.000568704,0.00170611,0.000568704
9,31.9231,1.19037,2.30069,1.37604,0.64386,0.83333,0.79345,0.62776,0.94336,1.96949,1.27713,0.0019028,0.000634265,0.0019028,0.000634265,0.0019028,0.000634265,0.0019028,0.000634265
10,34.4098,1.19859,2.07623,1.37573,0.68998,0.83333,0.8125,0.66279,0.92274,1.64773,1.23256,0.00209486,0.000698287,0.00209486,0.000698287,0.00209486,0.000698287,0.00209486,0.000698287
11,36.9663,1.25665,1.89709,1.35474,0.70453,0.83333,0.8125,0.66443,0.89407,1.39718,1.21762,0.00228231,0.000760768,0.00228231,0.000760768,0.00228231,0.000760768,0.00228231,0.000760768
12,39.6088,1.11184,1.68181,1.29612,0.90445,1,0.995,0.69098,0.87989,1.2,1.22227,0.00246513,0.00082171,0.00246513,0.00082171,0.00246513,0.00082171,0.00246513,0.00082171
13,43.6675,1.084,1.47676,1.28929,0.85617,1,0.995,0.70754,0.85455,1.12915,1.19164,0.00264334,0.000881112,0.00264334,0.000881112,0.00264334,0.000881112,0.00264334,0.000881112
14,46.9892,1.0997,1.46806,1.30973,0.8172,1,0.995,0.7518,0.87055,1.10484,1.21073,0.00281692,0.000938974,0.00281692,0.000938974,0.00281692,0.000938974,0.00281692,0.000938974
15,49.4353,1.01667,1.31046,1.2349,0.87775,1,0.995,0.77915,0.85945,0.9316,1.1749,0.00287105,0.000957015,0.00287105,0.000957015,0.00287105,0.000957015,0.00287105,0.000957015
